Job,Company,Location,Salary,Cleaned Salary
Java Spring developer,Desjardins,Montreal,$84K - $105K (Glassdoor Est.),94500.0
Software Development Team Lead,Solutions Petal Inc.,Quebec,$150K - $170K (Glassdoor Est.),160000.0
Front-End Developer,VML Canada (English),Toronto,$75K - $120K (Glassdoor Est.),97500.0
Frontend Developer - ReactJS,Rivago Infotech Pvt,Toronto,$53K - $75K (Glassdoor Est.),64000.0
Java Software Engineer-Canada,Bellwood Labs,Remote,$75K - $100K (Glassdoor Est.),87500.0
Junior Software Developer,COVNEX,Ottawa,$60K - $90K (Employer Est.),75000.0
RQ08828 - Software Developer - Senior,Cyber-Infomax Solutions Inc.,North York,$57.07 Per hour (Employer Est.),118560.0
Radio SW Developer (Entry Level),Ericsson,Ottawa,,
Software Developer 8789-1810,Foilcon,Toronto,,
Java developer,Atlantis IT group,Toronto,,
Junior Back-End Developer,Asynchron Systems Inc.,Toronto,,
Web Developer (Frontend),Finlink Group,Toronto,,
Intermediate Software Developer,Nuclear Promise X,Kincardine,,
"Software Engineer I, Entry Level (Fall 2024-Spring 2025) - Toronto",DoorDash Canada,Toronto,,
ERP Software Developer,Levitt Safety,Oakville,,
Front-End Software Engineer,Manulife,Waterloo,,
BI Report Developer (Microsoft),Devengine,Remote,,
Software Developer- UI Front End,Equifax,Toronto,,
Web Developer,Subprime Financial Technology Ltd.,North York,,
Software Developer,BIS Safety Software,Sherwood Park,,
Junior Web Developer,Smart codes,Surrey,,
"Front End and Full Stack Developer (Remote - Ontario, Canada ONLY)",Ample Insight Inc.,Toronto,,
Developer - SAP ABAP,Vaco,Montreal,,
software developer,Abler HD Canada INC,Trenton,,
Software Developer,Fidelity Investments,Toronto,,
Software Developer,Autodesk,Toronto,,
software developer,Inavista Solutions Inc,Mississauga,,
AWS - SysOps Developer,Venuiti,Waterloo,,
Senior Software Developer - Full Stack (Contract),Electric Mind Inc.,Toronto,,
Lead Software Developer,Stantec,Toronto,,
Software Developer,Knelsen Sand & Gravel Ltd.,Edmonton,,
Jr. Reports Developer (Vancouver Island residents ONLY),Plexxis Software,Victoria,,
Intermediate Front End Software Developer - Patient Communication,Jane.app,Canada,,
Software Developer - C/C++,Moneris Solutions,Toronto,,
software developer,Daltec Process Fans,Guelph,,
Intermediate Full Stack Software Developer,J.D. Power,Remote,,
software developer,RMA Technologies Inc.,Cambridge,,
Senior PHP Developer,Frontier Dental Supply,Markham,,
Software Developer - Data Integration,London Health Sciences Centre,London,,
Software Developer Intern,ResMed,Halifax,,
iOS Developer,C2 Live,Remote,,
software developer,KingswaySoft Inc.,Oakville,,
"Staff Software Developer, Platform Core",Score Media and Gaming Inc.,Remote,,
software developer,InfoJet International Inc,Mississauga,,
ReactJS Developer,The Wolf Works,Mississauga,,
Senior iOS Developer - Tangerine,Tangerine,Toronto,,
Senior Software Developer,TELUS,Toronto,,
software developer,MESONS TECHNOLOGIES INC.,Scarborough,,
.Net Development Lead,CGI,Toronto,,
software developer,MISSION CONTROL NOC AND HELPDESK SERVICES,North York,,
Software Developer,Proax Technologies,London,,
Software Developer (Java),Bioinformatics Solutions,Waterloo,,
Intermediate Backend Software Developer (Golang),TextNow,Toronto,,
Full Stack Software Developer,CIRO / OCRI,Toronto,,
Software Developer,CGI,Halifax,,
Software Developer - Product Development,Canadian Bank Note Company,Ottawa,,
Junior Front End Software Engineer,DataVisor,Toronto,,
Game Developer,HitGrab Game Labs,Ontario,,
